"","target","test","n","nas","detect_n","nondetect_n","denom","perc_detect"
"1","tropi","sticky",26,0,26,0,26,100
"2","tropi","infest100",26,0,24,2,26,92.3076923076923
"3","tropi","bump",26,0,19,7,26,73.0769230769231
"4","tropi","alc",26,0,10,16,26,38.4615384615385
"5","tropi","powsug",26,0,9,17,26,34.6153846153846
"6","varroa","powsug",26,0,25,1,26,96.1538461538462
"7","varroa","alc",26,0,23,3,26,88.4615384615385
"8","varroa","infest100",26,0,21,5,26,80.7692307692308
"9","varroa","bump",26,26,0,0,0,NA
"10","varroa","sticky",26,26,0,0,0,NA
